가맹점 명,주소,데이터기준일자,위도,경도
삼창상회,부산 중구 중구로 28,2026-04-24,35.10023059,129.0280522
차영일비뇨기과,부산 중구 중구로 4-2,2026-04-24,35.09825564,129.0282204
선일치과의원,부산 서구  까치고개로233번길,2026-04-24,35.10073022,129.021546
사상치과의원,부산 사상구 사상로 215,2026-04-24,35.16424098,128.9833984
새진주식당,부산 중구 흑교로 60,2026-04-24,35.10477548,129.0249001
보떼 남포지하점,부산 중구 구덕로 73,2026-04-24,35.09714032,129.0271554
부산레저,부산 중구 중앙대로 21,2026-04-24,35.09951017,129.036142
삼보골드,부산 사하구 옥천로 5,2026-04-24,35.08811462,129.0050798
장 마켓,부산 북구 낙동대로 1668,2026-04-24,35.20392726,128.994894
골드라인,부산 부산진구 부전1동,2026-04-24,35.16350647,129.0630056
대도상사,부산 수영구 연수로 417,2026-04-24,35.16800593,129.1147959
그래머양품점,부산 동래구 충렬대로 306,2026-04-24,35.19941254,129.0923088
울프,부산 중구 창선동2가,2026-04-24,35.09952532,129.0283163
산들,부산 중구 중구로34번길 20-1,2026-04-24,35.1009491,129.030033
고고의상실,부산 연제구 고분로13번길 5-11,2026-04-24,35.18619638,129.0835179
금탑,부산 중구 남포동6가,2026-04-24,35.09752165,129.0267754
아이포유안경원,부산 연제구 과정로 144,2026-04-24,35.18423881,129.1074406
삼광악기,부산 부산진구 범일로 173,2026-04-24,35.14555648,129.0589919
영창온뮤직,부산 사하구 낙동대로 365,2026-04-24,35.10170902,128.9776299
포항물횟집,부산 수영구 민락동,2026-04-24,35.15726484,129.1254459
엑트맨,부산 부산진구 중앙대로 지하 717,2026-04-24,35.15523714,129.0591398
신수정약국,부산 동구 수정동,2026-04-24,35.13269316,129.0366333
초원복국,부산 해운대구 중동2로10번길 8,2026-04-24,35.16282977,129.1650725
예람한의원,부산 금정구 남산로 35,2026-04-24,35.26688928,129.0883566
우먼센스,부산 사상구 사상로 295,2026-04-24,35.17117455,128.9827865
무지개부분정비공업사,부산 사하구 장평로299번길 31,2026-04-24,35.09296793,128.9717414
대성당,부산 사상구 주례1동,2026-04-24,35.1513298,129.0011395
서희,부산 해운대구 윗반송로51번길 83-9,2026-04-24,35.23112989,129.1558621
정은당,부산 영도구 동삼2동,2026-04-24,35.06839052,129.0830082
한보카서비스,부산 사하구 장평로 314,2026-04-24,35.09373268,128.97452
예창농방,부산 서구  천마로205번길,2026-04-24,35.09517937,129.021835
세영사,부산 부산진구 중앙대로 795,2026-04-24,35.16279666,129.0628655
세기서적,부산 중구 보수동1가,2026-04-24,35.10741513,129.0257834
강약국,부산 부산진구 가야대로 785,2026-04-24,35.15802759,129.0575548
금성당감판매장,부산 부산진구 당감로16번길 12,2026-04-24,35.1631535,129.0403241
삼호약국,부산 사상구 엄궁북로 22,2026-04-24,35.12833642,128.9726576
구자룡치과,부산 남구 수영로366번길 2,2026-04-24,35.13943353,129.1055378
로마안경원,부산 중구 대청로 87,2026-04-24,35.10314584,129.029412
명성한의원,부산 중구 대청로 133,2026-04-24,35.10296697,129.0344416
일렘,부산 사상구 광장로 7,2026-04-24,35.16433608,128.9777161
상록수코너,부산 해운대구 중1동,2026-04-24,35.16253265,129.1642316
이상봉치과의원,부산 동래구 중앙대로1473번길 14-18,2026-04-24,35.21822341,129.0834285
블랙야크(부산광복점),부산 서구 구덕로,2026-04-24,35.10456076,129.020049
에펠스,부산 중구 광복로55번길 14,2026-04-24,35.09989019,129.0300773
금호탕,부산 동래구 안남로 66,2026-04-24,35.19387748,129.09919
막끌리네,부산 영도구 절영로35번길 59,2026-04-24,35.09022757,129.0423636
대림골프,부산 수영구 망미배산로42번길 9,2026-04-24,35.17456962,129.1034987
트라임엄프롯데1번가점,부산 중구 중앙동1가 26 구롯데지하도상가 A-6,2026-04-24,35.1006798,129.0357612
부산등산장비,부산 부산진구 중앙대로 지하 717,2026-04-24,35.15523714,129.0591398
종합자전거,부산 사상구 사상로161번길 54,2026-04-24,35.15765796,128.9857425
더 기프트(The Gift) 망고,부산 중구 구덕로 73,2026-04-24,35.09714032,129.0271554
제일오토바이상사,부산 금정구 금강로 371,2026-04-24,35.24120118,129.0863035
프라쟈,부산 영도구 남항동1가,2026-04-24,35.09041638,129.0388354
밀라노,부산 부산진구 부전1동,2026-04-24,35.16350647,129.0630056
부산명물횟밥집,부산 중구 남포동4가,2026-04-24,35.09747782,129.0315462
경인한의원,부산 사하구 다대로 405,2026-04-24,35.06706594,128.9802694
영창당,부산 사하구 다대로124번길 46,2026-04-24,35.09235466,128.9770916
안경나라장림점,부산 사하구 장림번영로 29,2026-04-24,35.08087278,128.968522
하림숯불갈비,부산 금정구  장전로,2026-04-24,35.22853296,129.0855655
제일양품,부산 부산진구 새싹로 209,2026-04-24,35.17481755,129.0487502
대금당,부산광역시 서구 까치고개로 214,2026-04-24,35.09959909,129.0191332
현대전자,부산광역시 부산진구 부전로 196,2026-04-24,35.16375165,129.0624353
씨티보청기상사,부산 부산진구 중앙대로 722,2026-04-24,35.15708393,129.0595036
한국타이어금사대리점,부산 금정구  반송로,2026-04-24,35.21458362,129.1110326
린나이부산대리점,부산 금정구 부곡로 131,2026-04-24,35.22766076,129.0918708
해운대워터스,부산 해운대구 좌동순환로468번다길 46-1,2026-04-24,35.16484938,129.1729772
재송회센타,부산 해운대구 재송1로60번길 36,2026-04-24,35.18603727,129.1238873
김치과의원,부산 동구 범일로 89-1,2026-04-24,35.13810346,129.0591366
튜울립치과의원,"부산 연제구  법원북로 16, 상가 209호 (거제동,거제2차현대홈타운)",2026-04-24,35.19254838,129.0681285
미소지음,부산 사하구 다대로130번길 150,2026-04-24,35.0931803,128.9747717
삼성전자좌천대리점,부산 기장군 장안읍,2026-04-24,35.31372519,129.2440443
남도패션,부산 기장군 기장읍,2026-04-24,35.23871011,129.2158563
왕비화점,부산 부산진구 새싹로 7,2026-04-24,35.15870175,129.058122
대우식육점,부산 북구 사상로583번길 20,2026-04-24,35.19638644,128.9894906
뷰티크레딧(장전점),부산 금정구 중앙대로1719번길 18,2026-04-24,35.23792571,129.0911515
청아당,부산 부산진구 새싹로 26,2026-04-24,35.16008197,129.0574593
미화당5층레코드,부산 중구 광복동2가,2026-04-24,35.09946143,129.0325604
