연번,쉼터명,상세주소,경도,위도
103,KT 더킹 대청점,중구 대청로 97-2 (대청동2가),129.030699601251,35.1030543367815
104,KT 이화모바일 모라점,사상구 백양대로 921 (모라동),128.99080778134,35.1885400135282
105,KT 이화모바일 냉정점,사상구 가야대로 366 1층 (주례동),129.012463905056,35.1509570695253
106,KT 엠엔케이 장림점,사하구 장림번영로 29 1층 (장림동),128.968521972937,35.0808727767879
107,KT (주)더블유 남포3호점,중구 구덕로 40-1 1층 KT (남포동4가),129.031336198964,35.098363235225
108,KT (주)더블유 남천역점,수영구 수영로 386 KT대리점 (남천동),129.10703313688,35.1408688392442
109,KT (주)더블유 덕천3호점,북구 백양대로 1198 1층 KT (구포동),129.005570300572,35.2092026168773
110,KT (주)더블유 남포점,중구 중구로 15-1 1층 KT (부평동1가),129.027672575402,35.0992634896057
111,KT (주)더블유 주례점,사상구 가야대로 280 1층 KT매장 (주례동),129.003157969549,35.150229538412
112,KT (주)더블유 하단점,사하구 낙동남로 1419 KT대리점 103호 (하단동),128.966787918208,35.1067017558211
113,KT (주)더블유 덕천2호점,북구 백양대로 1191 1층 KT (구포동),129.005064088765,35.2086968889924
114,KT (주)더블유 모라점,"사상구 백양대로 893 3층 303호 KT대리점 (모라동, 궁전빌딩)",128.990707223533,35.1858672608892
115,KT (주)연우컴퍼니 명지오션점,"강서구 명지오션시티4로 81 1층 KT 베스킨라빈스 맞은편 (명지동, 세정프라자)",128.903961734242,35.0816972049575
116,KT (주)연우컴퍼니 명지점,"강서구 명지국제8로 245 107호 (명지동, 명지뉴타워)",128.919834154903,35.0984160588781
117,KT (주)연우컴퍼니 신호점,강서구 신호산단2로 33 골든뷰 109호 (신호동),128.877827002378,35.0859666961959
118,KT 에이아이컴퍼니 서대신점,서구 대영로 44 (서대신동1가),129.016280812251,35.109311435456
119,KT 비케이모바일 괘법점,사상구 사상로212번길 6 KT매장-비케이통신괘법점 (괘법동),128.984242057254,35.1639567195984
120,KT 한성 다대점,사하구 윤공단로14번길 59 1층 (다대동),128.969803739475,35.0574315415309
121,KT 에이딘 화명점,"북구 금곡대로285번길 5 1층 105호 (화명동, 레지던스라움)",129.013176739007,35.2336730290072
122,KT (주)대성정공 남포점,중구 구덕로 72 (남포동6가),129.027929073459,35.0978966199032
123,KT (주)대성정공 연지점,"부산진구 새싹로 177 1층 107호 KT매장 (연지동, 세동한신아파트)",129.049507584429,35.1719499445612
124,KT (주)대성정공 당리점,사하구 낙동대로 402 (당리동),128.974455298074,35.1035663968394
125,KT (주)엘에스컴퍼니 덕천역점,북구 만덕대로 24 외 3필지 (덕천동),129.006423007577,35.2098760732485
126,KT 한성 당리점,사하구 승학로 53 1층 (당리동),128.974357545036,35.1055964671992
127,KT 한성 서대신점,서구 구덕로 297 (서대신동2가),129.017367385726,35.1105036314378
128,KT M&S명지국제신도시직영점,"강서구 명지국제8로 246 108호 (명지동, 에이스프라자)",128.919619916682,35.0977390492054
129,KT M&S화명역직영점,"북구 금곡대로285번길 19 105호 (화명동, 리버사이드빌딩)",129.012324342859,35.2337717376099
130,KT M&S광복직영점,중구 광복로 54-2 (창선동1가),129.031014685567,35.0991138956173
131,KT M&S사상역직영점,"사상구 사상로 200 106호 (괘법동, 엠시티빌딩)",128.984602276617,35.1629608754113
132,KT M&S동대신직영점,서구 구덕로 320 (동대신동2가),129.016776134058,35.1123888211634
133,KT 올레플라자 덕천점,북구 만덕대로 134(덕천동) kt 구포지점 1층 KT플라자 덕천점,129.019923098556,35.2124950460055
134,KT 올레플라자 사하점,사하구 낙동대로 319(괴정동) kt 사하지점 1층 KT플라자 사하점,128.981976642741,35.099768235297
135,KT 올레플라자 중부산점,중구 중앙대로 136(중앙동4가) kt 중부산지점 1층 KT플라자 중부산점,129.037661853025,35.1095418111601
