servList__estbDate,servList__faclInfId,servList__faclLat,servList__faclLng,servList__faclNm,servList__faclTyCd,servList__lcMnad,servList__salStaDivCd,servList__salStaNm,servList__wfcltDivCd,servList__wfcltId
20030624,20155828491,35.16895548,129.1537123,해운대 협성엠파이어 아파트,아파트,부산광역시 해운대구 우동1로85번길 57,Y,영업,17,2635010500-3-09180003
20100805,20155828718,35.16960195,129.1530235,해운대여자고등학교,고등학교,부산광역시 해운대구 우동1로85번길 71,Y,영업,17,2635010500-2-01000002
20150518,20155828719,35.16837077,129.1575516,사랑드림재활주간보호센터,노인복지시설,부산광역시 해운대구 우동2로 50-4,Y,영업,17,2635010500-1-03940013
20021009,20155828720,35.17139424,129.1548869,해운대협성프라임빌아파트,아파트,부산광역시 해운대구 우동2로 93,Y,영업,17,2635010500-3-03330000
20021009,20155828724,35.17139424,129.1548869,해운대협성프라임빌아파트,아파트 부대복리시설,부산광역시 해운대구 우동2로 93,Y,영업,17,2635010500-3-03330000
20010807,20155828725,35.16783476,129.1618166,태석아파트,금융업소 등 일반업무시설,부산광역시 해운대구 우동2로30번가길 23,Y,영업,17,2635010500-3-01820003
20010807,20155828726,35.16762654,129.1620316,일진 비치텔,금융업소 등 일반업무시설,부산광역시 해운대구 우동2로30번가길 26,Y,영업,17,2635010500-3-01810003
20001122,20155828730,35.16787382,129.1620566,태석아파트,아파트,부산광역시 해운대구 우동2로30번가길 27,Y,영업,17,2635010500-3-01820001
20040326,20155828731,35.16642046,129.1634943,아크로뷰,아파트,부산광역시 해운대구 우동3로 4,Y,영업,17,2635010600-3-15540000
20100914,20155828732,35.17080557,129.163455,스카이빌B동,다세대주택,부산광역시 해운대구 우동3로 59,Y,영업,17,2635010500-3-02750007
20100914,20155828961,35.17092708,129.1635239,스카이빌C동,다세대주택,부산광역시 해운대구 우동3로 61,Y,영업,17,2635010500-3-02750005
20000118,20155828962,35.17106612,129.1636452,서원빌딩,금융업소 등 일반업무시설,부산광역시 해운대구 우동3로 63,Y,영업,17,2635010500-1-02750000
20020911,20155828963,35.17000098,129.1627616,서광골드타워,아파트,부산광역시 해운대구 우동3로11번길 36,Y,영업,17,2635010500-3-02660007
19990728,20155828967,35.17099935,129.1632767,A동,다세대주택,부산광역시 해운대구 우동3로11번길 38-15,Y,영업,17,2635010500-3-02760001
20050607,20155828968,35.23318807,129.1436908,아이들의집,아동복지시설,부산광역시 해운대구 운봉길 135,Y,영업,17,2635010100-1-06140000
20081028,20155828969,35.23622858,129.1434628,세림 어르신의 집,노인복지시설,부산광역시 해운대구 운봉길186번길 18,Y,영업,17,2635010100-1-05710001
20010809,20155829198,35.23088119,129.1572059,이노티안경점,일반음식점,부산광역시 해운대구 윗반송로 77,Y,영업,17,2635010100-1-00620450
20040412,20155829199,35.23185438,129.1567228,일반음식점,일반음식점,부산광역시 해운대구 윗반송로51번길 118,Y,영업,17,2635010100-1-00620300
20050112,20155829200,35.23015174,129.1558802,아동복지시설,아동복지시설,부산광역시 해운대구 윗반송로51번길 48-13,Y,영업,17,2635010100-1-02180023
20111227,20155829204,35.23076624,129.154969,반송2동시장 고객편의시설,공중화장실,부산광역시 해운대구 윗반송로51번길 59-31,Y,영업,17,2635010100-1-00401009
20170824,20155829205,0,0,센텀라파주간보호센터,노인복지시설,부산광역시 해운대구 재반로 107,Y,영업,17,2635010400-1-10610006
20020315,20155829206,0,0,건영빌라,아파트,부산광역시 해운대구 재반로 109-6,Y,영업,17,2635010400-3-10600009
20030305,20155829210,35.18815731,129.1265669,코코샤브,일반음식점,부산광역시 해운대구 재반로 112,Y,영업,17,2635010400-1-11260002
19991019,20155829211,35.18860237,129.125839,장산하이츠빌라,아파트,부산광역시 해운대구 재반로 113-13,Y,영업,17,2635010400-3-10600003
20090320,20155829212,35.18865116,129.1268321,일창빌딩,의원·치과의원·한의원·조산소·산후조리원,부산광역시 해운대구 재반로 116,Y,영업,17,2635010400-3-11300016
20001023,20155829441,35.18887525,129.1264796,일반음식점,일반음식점,부산광역시 해운대구 재반로 117,Y,영업,17,2635010400-1-10590017
20120413,20155829442,0,0,센텀 에코하임 아파트,아파트,부산광역시 해운대구 재반로 119-15,Y,영업,17,2635010400-3-10590001
20011228,20155829443,0,0,상록캐스빌,아파트,부산광역시 해운대구 재반로 123,Y,영업,17,2635010400-3-10580003
20040212,20155829447,35.18946687,129.1267963,영상빌딩,일반음식점,부산광역시 해운대구 재반로 124,Y,영업,17,2635010400-1-11310003
20010911,20155829448,0,0,상록베스트빌,다세대주택,부산광역시 해운대구 재반로 129-1,Y,영업,17,2635010400-3-10440006
20080225,20155829449,35.19004685,129.1272887,바담 코다리,일반음식점,부산광역시 해운대구 재반로 134,Y,영업,17,2635010400-1-11320001
20030228,20155829677,35.19134151,129.1281713,보라스카이타운,아파트,부산광역시 해운대구 재반로 150,Y,영업,17,2635010400-3-11450001
20010706,20155829678,35.19203105,129.1278493,로얄사우나,목욕장,부산광역시 해운대구 재반로 151-10,Y,영업,17,2635010400-1-10340005
20110516,20155829679,0,0,해운대 청소년수련관,생활권수련시설,부산광역시 해운대구 재반로 151-21,Y,영업,17,2635010400-1-10420001
20150625,20155829683,35.19225893,129.1280455,재송제일교회,종교집회장,부산광역시 해운대구 재반로 159,Y,영업,17,2635010400-1-10340006
20190424,20155829684,35.19302664,129.1288947,상쾌한위앤장내과의원,의원·치과의원·한의원·조산소·산후조리원,부산광역시 해운대구 재반로 169,Y,영업,17,2635010400-1-10330008
20020724,20155829685,35.19383969,129.1302496,마장동 정육식당,일반음식점,부산광역시 해운대구 재반로 183,Y,영업,17,2635010300-1-12911048
19991124,20155829689,35.19388442,129.1306064,한양스토아,수퍼마켓·일용품 등의 소매점,부산광역시 해운대구 재반로 186,Y,영업,17,2635010300-1-12911021
20050318,20155829690,35.1950971,129.1304677,새아빌딩,노인복지시설,부산광역시 해운대구 재반로 199,Y,영업,17,2635010300-1-12910832
20010720,20155829691,35.19685754,129.1311299,일반음식점,일반음식점,부산광역시 해운대구 재반로 220-1,Y,영업,17,2635010300-1-12911362
20150922,20155829919,35.19838726,129.1310408,해운대농협 반산지점,의원·치과의원·한의원·조산소·산후조리원,부산광역시 해운대구 재반로 237,Y,영업,17,2635010300-1-12910234
20010522,20155829920,35.19840355,129.1314055,기운쎈갈비탕,일반음식점,부산광역시 해운대구 재반로 238,Y,영업,17,2635010300-1-12910205
20010106,20155829921,35.19953527,129.1312128,일반음식점,일반음식점,부산광역시 해운대구 재반로 249,Y,영업,17,2635010300-1-16090011
20110511,20155829925,35.18105467,129.1272892,미진아트빌,다세대주택,부산광역시 해운대구 재반로 28-11,Y,영업,17,2635010400-3-01070011
20050901,20155829926,35.18132309,129.1265065,포항생아구,일반음식점,부산광역시 해운대구 재반로 29,Y,영업,17,2635010400-1-05120028
20010705,20155829927,35.20272895,129.1294702,반여초등학교,초등학교,부산광역시 해운대구 재반로 301,Y,영업,17,2635010300-1-16000012
20060711,20155830156,35.20474509,129.126117,반여동 정형외과,의원·치과의원·한의원·조산소·산후조리원,부산광역시 해운대구 재반로 344,Y,영업,17,2635010300-1-12470038
20000708,20155830157,35.18331521,129.1262575,오대감,일반음식점,부산광역시 해운대구 재반로 51-1,Y,영업,17,2635010400-1-04830002
20200122,20155830158,35.18453445,129.1259859,동일통상,수퍼마켓·일용품 등의 소매점,부산광역시 해운대구 재반로 65-1,Y,영업,17,2635010400-1-11170014
20161205,20155830162,35.18536711,129.1261143,주차장,주차장,부산광역시 해운대구 재반로 74,Y,영업,17,2635010400-1-11180004
20170821,20155830163,35.18571178,129.1259513,메라크빌,"교육원(연수원등)·직업훈련소·학원(자동차학원, 무도학원 제외) 등",부산광역시 해운대구 재반로 78-1,Y,영업,17,2635010400-1-11180002
20130816,20155830164,35.1854702,129.1256317,"교육원(연수원등)·직업훈련소·학원(자동차학원, 무도학원 제외) 등","교육원(연수원등)·직업훈련소·학원(자동차학원, 무도학원 제외) 등",부산광역시 해운대구 재반로 79,Y,영업,17,2635010400-1-11170019
20150424,20155830168,0,0,재송메디컬센터,의원·치과의원·한의원·조산소·산후조리원,부산광역시 해운대구 재반로 86,Y,영업,17,2635010400-3-11240004
20091217,20155830169,0,0,피에스타빌,금융업소 등 일반업무시설,부산광역시 해운대구 재반로 89-17,Y,영업,17,2635010400-3-10870003
20000627,20155830170,0,0,참빛마을2차,아파트,부산광역시 해운대구 재반로103번가길 23,Y,영업,17,2635010400-3-10570014
20210323,20155830398,35.18737087,129.1269264,재송 더 빌리지,다세대주택,부산광역시 해운대구 재반로104번길 15-8,Y,영업,17,2635010400-3-11270005
20020121,20155830399,35.18731861,129.1273005,재송연립주택,다세대주택,부산광역시 해운대구 재반로104번길 21-12,Y,영업,17,2635010400-3-11270020
20080521,20155830400,0,0,기독교대한성결교회재송교회,종교집회장,부산광역시 해운대구 재반로112번길 10,Y,영업,17,2635010400-1-11280016
20100720,20155830404,35.18874596,129.127668,프리빌,금융업소 등 일반업무시설,부산광역시 해운대구 재반로112번길 11,Y,영업,17,2635010400-3-11300025
20140121,20155830405,35.18805425,129.1278265,한울다온,다세대주택,부산광역시 해운대구 재반로112번길 12-12,Y,영업,17,2635010400-3-11280013
20020308,20155830406,35.18878162,129.1279102,늘푸른 아트빌,아파트,부산광역시 해운대구 재반로112번길 15,Y,영업,17,2635010400-3-11300010
20040205,20155830635,35.18823744,129.1271962,스파젠,목욕장,부산광역시 해운대구 재반로112번길 6,Y,영업,17,2635010400-1-11280001
20120517,20155830636,35.18873401,129.1274046,보금자리,다세대주택,부산광역시 해운대구 재반로112번길 7-1,Y,영업,17,2635010400-3-11300013
20050701,20155830637,35.18243093,129.1241516,재정빌딩,"교육원(연수원등)·직업훈련소·학원(자동차학원, 무도학원 제외) 등",부산광역시 해운대구 재반로11번길 76,Y,영업,17,2635010400-1-04070004
20160308,20155830641,35.18240153,129.124333,센텀 태림빌,다세대주택,부산광역시 해운대구 재반로11번길 80-8,Y,영업,17,2635010400-3-04070003
20051215,20155830642,35.18973468,129.1264687,재송동근린생활시설,휴게음식점·제과점,부산광역시 해운대구 재반로125번길 2,Y,영업,17,2635010400-1-10440012
20020916,20155830643,35.19010713,129.1258371,센텀우신골든빌,아파트,부산광역시 해운대구 재반로125번길 30,Y,영업,17,2635010400-3-10480003
20020916,20155830647,35.19010713,129.1258371,센텀우신골든빌,아파트 부대복리시설,부산광역시 해운대구 재반로125번길 30,Y,영업,17,2635010400-3-10480003
20060630,20155830648,35.17966921,129.1275323,해운대종합사회복지관,어린이집,부산광역시 해운대구 재반로12번길 16,Y,영업,17,2635010400-1-01000000
20050914,20155830649,35.18917302,129.1277548,태승빌딩,"교육원(연수원등)·직업훈련소·학원(자동차학원, 무도학원 제외) 등",부산광역시 해운대구 재반로132번길 22,Y,영업,17,2635010400-1-11300021
20180207,20155830876,35.18973296,129.1272386,재송동 루미랑스,금융업소 등 일반업무시설,부산광역시 해운대구 재반로132번길 6,Y,영업,17,2635010400-3-11310007
20161129,20155830877,35.18785282,129.1290628,센텀성문하우스,다세대주택,부산광역시 해운대구 재반로132번길 60,Y,영업,17,2635010400-3-11290011
20101007,20155830878,35.19189706,129.1300315,어반빌리지,아파트,부산광역시 해운대구 재반로152번길 39,Y,영업,17,2635010400-3-11480003
20110228,20155830882,0,0,파크빌,다세대주택,부산광역시 해운대구 재반로184번길 64,Y,영업,17,2635010400-3-11660002
20131120,20155830883,0,0,반여2배수지 공영주차장,주차장,부산광역시 해운대구 재반로212번길 60,Y,영업,17,2635010300-1-12911516
20200108,20155830884,35.2007181,129.1331621,반디문화센터,노인복지시설,부산광역시 해운대구 재반로256번길 29-53,Y,영업,17,2635010300-1-15920019
20101220,20155831112,35.20058043,129.1321633,아이해피센터,아동복지시설,부산광역시 해운대구 재반로256번길 7-48,Y,영업,17,2635010300-1-16010018
20051124,20155831113,0,0,장산스파월드,목욕장,부산광역시 해운대구 재반로270번길 57-38,Y,영업,17,2635010300-1-15810005
20111128,20155831114,35.18229635,129.1251242,센텀 삼성빌,다세대주택,부산광역시 해운대구 재반로27번길 37,Y,영업,17,2635010400-3-04530007
20021002,20155831118,0,0,세진아파트,다세대주택,부산광역시 해운대구 재반로282번길 109,Y,영업,17,2635010300-3-15810009
20051214,20155831119,0,0,반여3동노인정,경로당,부산광역시 해운대구 재반로282번길 60,Y,영업,17,2635010300-1-15750005
20120518,20155831120,35.18250982,129.1286953,한울파크빌,다세대주택,부산광역시 해운대구 재반로30번가길 30,Y,영업,17,2635010400-3-01150018
20030429,20155831124,35.18357727,129.1289794,쏘홈 부산점,수퍼마켓·일용품 등의 소매점,부산광역시 해운대구 재반로30번가길 50,Y,영업,17,2635010400-1-01170014
20020107,20155831125,35.18379684,129.1290381,광운빌라,다세대주택,부산광역시 해운대구 재반로30번가길 56,Y,영업,17,2635010400-3-01170013
20150629,20155831126,35.18382166,129.1288057,재반빌,다세대주택,부산광역시 해운대구 재반로30번가길 61,Y,영업,17,2635010400-3-01170021
20120531,20155831354,35.18193516,129.1276288,송원아트,다세대주택,부산광역시 해운대구 재반로30번길 13-14,Y,영업,17,2635010400-3-01150032
20130717,20155831355,35.18223088,129.1278257,동광아트,다세대주택,부산광역시 해운대구 재반로30번길 13-22,Y,영업,17,2635010400-3-01150030
20171129,20155831356,35.18240509,129.1277784,중광아트,금융업소 등 일반업무시설,부산광역시 해운대구 재반로30번길 13-28,Y,영업,17,2635010400-3-01150029
