연번,쉼터명,주소,경도,위도
113,아리랑고개카페,부산광역시 동구 망양로 880-1 ,129.0483633,35.138989
114,이중섭전망대,부산광역시 동구 증산로 168,129.0526414,35.1405989
115,범일1동행정복지센터,부산광역시 동구 범상로 10-1 ,129.0491921,35.1412832
116,범일생활문화센터(1층),부산광역시 동구 범곡로 14,129.056031,35.139391
117,범일2동행정복지센터,부산광역시 동구 범일로 58,129.0598217,35.1351219
118,자성대노인복지관,부산광역시 동구 자성로140번길 32,129.0648293,35.1356352
119,범일5동행정복지센터,부산광역시 동구 성남로47번길 13,129.0537947,35.1305023
120,영도구노인복지관,부산광역시 영도구 절영로29번길 14,129.040115,35.091375
121,대평경로당,부산광역시 영도구 대평로27번길 8-8 ,129.034,35.0913
122,남항동행정복지센터,부산광역시 영도구 남항로9번길 1,129.037647,35.090018
123,영도교회,부산광역시 영도구 새천년길 156,129.045099,35.0890673
124,아이존빌@경로당,부산광역시 영도구 영선대로 98,129.043465,35.088346
125,영선1동행정복지센터,부산광역시 영도구 꿈나무길 25,129.0447704,35.0902459
126,영선반도보라경로당,부산광역시 영도구 해안산책길 30,129.040173,35.082042
127,이송도경로당,부산광역시 영도구 향토길 12,129.046045,35.078491
128,영선2동행정복지센터,부산광역시 영도구 영선대로 65,129.041343,35.087038
129,영로경로당,부산광역시 영도구 하나길 333,129.0453,35.0838
130,신선경로당,부산광역시 영도구 하나길 542,129.046762,35.087472
131,영도구종합사회복지관,부산광역시 영도구 산정길 138,129.047538,35.08124
132,신선동행정복지센터,부산광역시 영도구 하나길 317,129.045177,35.083407
133,봉래1동행정복지센터,부산광역시 영도구 대교로6번길 5,129.0443078,35.0934918
134,새마을경로당,부산광역시 영도구 봉래길 112,129.05177,35.09169
135,봉래2동행정복지센터,부산광역시 영도구 태종로 160 (수도빌딩),129.046119,35.093405
136,청송경로당,부산광역시 영도구 청학서로45번길 22,129.0557125,35.0953506
137,건곤경로당,부산광역시 영도구 태종로292번길 72,129.0556455,35.0959497
138,청학1동행정복지센터,부산광역시 영도구 청학서로 78,129.0583907,35.0969
139,롯데낙천대@경로당,부산광역시 영도구 청학남로 48,129.062684,35.08847
140,화신아파트경로당,부산광역시 영도구 태종로358번길 1,129.063617,35.0940075
141,학수경로당,부산광역시 영도구 청학동로 32-6 ,129.062713,35.090226
142,청학2동행정복지센터,부산광역시 영도구 태종로 394,129.0657547,35.0919226
143,한진로즈힐경로당,부산광역시 영도구 와치로 294,129.071717,35.073315
144,절영@경로당,부산광역시 영도구 와치로 231,129.067138,35.076719
145,와치종합사회복지관,부산광역시 영도구 함지로79번길 76,129.065509,35.076003
146,절영종합사회복지관,부산광역시 영도구 함지로 33-10 ,129.0617649,35.0722143
147,동삼1동행정복지센터,부산광역시 영도구 중리로 44-1 ,129.0684074,35.0749034
148,하리경로당,부산광역시 영도구 태종로773번길 9,129.081432,35.068038
149,동삼2동행정복지센터,부산광역시 영도구 동삼오션로 27,129.082894,35.0684451
150,동삼종합사회복지관,부산광역시 영도구 동삼북로 2,129.066788,35.083361
151,상리종합사회복지관,부산광역시 영도구 상리로 1,129.06855,35.085966
